MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 0.1]","(0.1, 0.54]","(0.54, 4.0]","(4.0, 8.31529]","(8.31529, 13.6945]","(13.6945, 22.5639]","(22.5639, 40.0322]","(40.0322, 67.8149]","(67.8149, 92.0143]","(92.0143, 148.83]","(148.83, 303.339]","(303.339, 455.653]","(455.653, 750.762]","(750.762, 1237.0]","(1237.0, 2038.15]","(2038.15, 3420.87]","(3420.87, 5533.14]","(5533.14, 9116.74]","(9116.74, 15021.3]","(15021.3, 25211.9]","(25211.9, 40779.5]","(40779.5, 67190.7]","(67190.7, 110707.0]","(110707.0, 182408.0]","(182408.0, 303339.0]","(303339.0, 499799.0]","(499799.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2235620.0]","(2235620.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.1]","(0.1, 0.54]","(0.54, 4.0]","(4.0, 8.31529]","(8.31529, 13.6945]","(13.6945, 22.5639]","(22.5639, 40.0322]","(40.0322, 67.8149]","(67.8149, 92.0143]","(92.0143, 148.83]","(148.83, 303.339]","(303.339, 455.653]","(455.653, 750.762]","(750.762, 1237.0]","(1237.0, 2038.15]","(2038.15, 3420.87]","(3420.87, 5533.14]","(5533.14, 9116.74]","(9116.74, 15021.3]","(15021.3, 25211.9]","(25211.9, 40779.5]","(40779.5, 67190.7]","(67190.7, 110707.0]","(110707.0, 182408.0]","(182408.0, 303339.0]","(303339.0, 499799.0]","(499799.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2235620.0]","(2235620.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.1]","(0.1, 0.54]","(0.54, 4.0]","(4.0, 8.31529]","(8.31529, 13.6945]","(13.6945, 22.5639]","(22.5639, 40.0322]","(40.0322, 67.8149]","(67.8149, 92.0143]","(92.0143, 148.83]","(148.83, 303.339]","(303.339, 455.653]","(455.653, 750.762]","(750.762, 1237.0]","(1237.0, 2038.15]","(2038.15, 3420.87]","(3420.87, 5533.14]","(5533.14, 9116.74]","(9116.74, 15021.3]","(15021.3, 25211.9]","(25211.9, 40779.5]","(40779.5, 67190.7]","(67190.7, 110707.0]","(110707.0, 182408.0]","(182408.0, 303339.0]","(303339.0, 499799.0]","(499799.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2235620.0]","(2235620.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 0.1]",0.00213314,0.00169457,0.00199864,0.00195878,0.00175099,0.001126345,0.002039451,-0.0001517886,-0.0006399271,0.0006888969,-0.000376657,0.0008706155,0.0005040825,0.001088245,0.0007813151,0.0002092851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6651e-05,-6.2106e-05,-6.06413e-05,-0.000224273,-0.000333121,-0.0002731846,-8.239521e-06,-0.0003261466,-0.0003186788,-0.0002703688,-0.000328772,-0.0003361756,-0.0003488192,-0.0003464729,-0.0003452019,-0.0001339244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.13652e-05,-4.71511e-05,-0.000159637,-0.00129966,-0.00062491,-0.001223693,-0.0001004614,-0.001297726,-0.001117359,-0.0009630828,-0.00107174,-0.0009189421,-0.0008744333,-0.000573381,-0.001057478,-0.0004718504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(0.1, 0.54]",0.00169457,0.00140482,0.0016239,0.00158448,0.00141896,0.0008950631,0.001655488,-0.0001989795,-0.0006051476,0.000519817,-0.000410359,0.0006669665,0.0003707157,0.0008668178,0.0006024369,0.0001585438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6305e-05,5.63042e-05,2.18922e-06,-0.000165778,-0.000261094,-0.0002095986,1.692538e-07,-0.0002444133,-0.0002422394,-0.0001807842,-0.000252806,-0.0002463344,-0.000270646,-0.0002524608,-0.0002560585,-0.0001037352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000103166,0.00012078,-1.67591e-05,-0.00113831,-0.000546022,-0.001072165,-8.821522e-05,-0.001141802,-0.0009882399,-0.00085233,-0.000944431,-0.0008089485,-0.0007551159,-0.0004891514,-0.0009079528,-0.0004037287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(0.54, 4.0]",0.00199864,0.0016239,0.00189683,0.00185193,0.00166002,0.001037054,0.001939397,-0.0002758547,-0.0007500474,0.0005892924,-0.000530816,0.0007605952,0.0004052735,0.001003123,0.0006801706,0.0001760044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95489e-06,1.58869e-06,-1.98739e-05,-0.00018699,-0.000303001,-0.0002357461,-6.031485e-07,-0.0002819329,-0.0002772029,-0.0002102279,-0.000286652,-0.0002847713,-0.0003134973,-0.0002946172,-0.0002997049,-0.0001222183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48382e-05,5.70731e-05,-8.77189e-05,-0.00138464,-0.000663841,-0.001303877,-0.0001073972,-0.001387626,-0.001200958,-0.001034016,-0.0011475,-0.0009841257,-0.0009192384,-0.0005902149,-0.001103396,-0.0004913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(4.0, 8.31529]",0.00195878,0.00158448,0.00185193,0.00181607,0.00162757,0.001069462,0.00188972,-8.572462e-05,-0.0005281518,0.0006748504,-0.000285915,0.000838806,0.0005099637,0.001033345,0.0007584982,0.0002073411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63142e-06,-5.15813e-06,-2.18835e-05,-0.000166903,-0.000263314,-0.0002095487,-1.506621e-06,-0.0002497867,-0.0002450481,-0.0001883426,-0.000254058,-0.0002509574,-0.0002773327,-0.0002614289,-0.0002660035,-0.0001078316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63032e-05,3.51026e-05,-8.23745e-05,-0.0011473,-0.000550617,-0.001080175,-8.896126e-05,-0.00115612,-0.001003447,-0.0008614448,-0.000961496,-0.0008204883,-0.000777669,-0.0004995804,-0.0009371134,-0.0004179995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(8.31529, 13.6945]",0.00175099,0.00141896,0.00166002,0.00162757,0.00147363,0.0009654302,0.001708602,-0.0001567605,-0.0005290284,0.0005927381,-0.00034754,0.0007327723,0.0004381599,0.0009294136,0.0006621562,0.0001793151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35729e-06,-1.34937e-05,1.64894e-05,-4.14865e-05,-0.000136842,-7.112086e-05,1.310785e-05,-0.0001079333,-0.0001008255,-4.475808e-05,-9.98108e-05,-9.861159e-05,-0.0001496544,-0.0001158991,-0.00013217,-6.525004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60472e-05,5.11674e-05,-6.75191e-05,-0.00114951,-0.000546989,-0.001082394,-9.006443e-05,-0.001172069,-0.00103022,-0.0008724672,-0.000978524,-0.0008296763,-0.000761551,-0.0004581843,-0.0009001116,-0.0004008167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(13.6945, 22.5639]",0.001126345,0.0008950631,0.001037054,0.001069462,0.0009654302,0.0009924301,0.001038941,0.001168349,0.001076137,0.001050751,0.001370963,0.001114916,0.001060758,0.0009541721,0.001069369,0.00035826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.417869e-07,2.178948e-06,2.000765e-05,8.995467e-05,0.0001473123,0.0001069786,4.740089e-06,0.0001248826,0.0001258644,0.0001090845,0.0001270499,0.0001401148,0.0001218214,0.0001299045,0.000121657,4.3539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.122456e-05,-2.257684e-05,4.638917e-05,0.0006766171,0.0003249343,0.0006380921,5.202076e-05,0.0006312527,0.0005202984,0.0004653367,0.0004839436,0.0004393177,0.0003516783,0.0002470547,0.0004067254,0.0001774809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
