MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 185.813]","(185.813, 504.442]","(504.442, 579.498]","(579.498, 771.881]","(771.881, 1271.8]","(1271.8, 1946.06]","(1946.06, 2235.62]","(2235.62, 9286.92]","(9286.92, 15021.3]","(15021.3, 16476.6]","(16476.6, 18928.2]","(18928.2, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 41540.7]","(41540.7, 68444.9]","(68444.9, 73700.4]","(73700.4, 112774.0]","(112774.0, 129554.0]","(129554.0, 139501.0]","(139501.0, 160258.0]","(160258.0, 182408.0]","(182408.0, 198239.0]","(198239.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 623994.0]","(623994.0, 771881.0]","(771881.0, 886730.0]","(886730.0, 1807290.0]","(1807290.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 579.498]","(579.498, 771.881]","(771.881, 1271.8]","(1271.8, 1946.06]","(1946.06, 2235.62]","(2235.62, 9286.92]","(9286.92, 15021.3]","(15021.3, 16476.6]","(16476.6, 18928.2]","(18928.2, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 41540.7]","(41540.7, 68444.9]","(68444.9, 73700.4]","(73700.4, 112774.0]","(112774.0, 129554.0]","(129554.0, 139501.0]","(139501.0, 160258.0]","(160258.0, 182408.0]","(182408.0, 198239.0]","(198239.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 623994.0]","(623994.0, 771881.0]","(771881.0, 886730.0]","(886730.0, 1807290.0]","(1807290.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 579.498]","(579.498, 771.881]","(771.881, 1271.8]","(1271.8, 1946.06]","(1946.06, 2235.62]","(2235.62, 9286.92]","(9286.92, 15021.3]","(15021.3, 16476.6]","(16476.6, 18928.2]","(18928.2, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 41540.7]","(41540.7, 68444.9]","(68444.9, 73700.4]","(73700.4, 112774.0]","(112774.0, 129554.0]","(129554.0, 139501.0]","(139501.0, 160258.0]","(160258.0, 182408.0]","(182408.0, 198239.0]","(198239.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 623994.0]","(623994.0, 771881.0]","(771881.0, 886730.0]","(886730.0, 1807290.0]","(1807290.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 6535230.0]","(6535230.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 185.813]",0.0009060032,3.133458e-05,2.471975e-05,2.591336e-06,2.591336e-06,2.591336e-06,2.591336e-06,3.450747e-07,-2.717211e-08,-2.717211e-08,-5.260202e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587585e-05,-2.089554e-07,-2.083007e-07,-8.780431e-08,-8.780431e-08,-8.780431e-08,-8.780431e-08,-1.00142e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001885142,-6.04417e-05,-5.843885e-05,-4.280378e-06,-4.280378e-06,-4.280378e-06,-4.280378e-06,-2.529496e-07,5.248187e-07,5.248187e-07,1.188797e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(185.813, 504.442]",3.133458e-05,5.90245e-05,4.620111e-05,3.30333e-06,3.30333e-06,3.30333e-06,3.30333e-06,4.190631e-07,-5.89129e-08,-5.89129e-08,-1.140485e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.674398e-07,-4.80122e-07,-4.785896e-07,-1.96566e-07,-1.96566e-07,-1.96566e-07,-1.96566e-07,-2.24186e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.311411e-05,-0.000150819,-0.0001459355,-1.38833e-05,-1.38833e-05,-1.38833e-05,-1.38833e-05,-1.657871e-06,7.03078e-07,7.03078e-07,1.592583e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(504.442, 579.498]",2.471975e-05,4.620111e-05,3.73132e-05,7.580704e-06,7.580704e-06,7.580704e-06,7.580704e-06,1.325616e-06,2.890334e-07,2.890334e-07,5.595348e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.478519e-07,-2.126237e-07,-2.109525e-07,9.660663e-08,9.660663e-08,9.660663e-08,9.660663e-08,1.10181e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.590815e-05,-0.0001177969,-0.0001147627,-3.271736e-05,-3.271736e-05,-3.271736e-05,-3.271736e-05,-7.363264e-06,-2.466934e-06,-2.466934e-06,-5.587997e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(579.498, 771.881]",2.591336e-06,3.30333e-06,7.580704e-06,2.18897e-05,2.18897e-05,2.18897e-05,2.18897e-05,4.358287e-06,1.45301e-06,1.45301e-06,2.812857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232466e-08,6.82232e-07,6.843674e-07,1.07735e-06,1.07735e-06,1.07735e-06,1.07735e-06,1.22873e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802248e-06,-7.32869e-06,-1.048104e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-2.644938e-05,-1.30715e-05,-1.30715e-05,-2.960902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(771.881, 1271.8]",2.591336e-06,3.30333e-06,7.580704e-06,2.18897e-05,2.18897e-05,2.18897e-05,2.18897e-05,4.358287e-06,1.45301e-06,1.45301e-06,2.812857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232466e-08,6.82232e-07,6.843674e-07,1.07735e-06,1.07735e-06,1.07735e-06,1.07735e-06,1.22873e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802248e-06,-7.32869e-06,-1.048104e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-2.644938e-05,-1.30715e-05,-1.30715e-05,-2.960902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(1271.8, 1946.06]",2.591336e-06,3.30333e-06,7.580704e-06,2.18897e-05,2.18897e-05,2.18897e-05,2.18897e-05,4.358287e-06,1.45301e-06,1.45301e-06,2.812857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232466e-08,6.82232e-07,6.843674e-07,1.07735e-06,1.07735e-06,1.07735e-06,1.07735e-06,1.22873e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802248e-06,-7.32869e-06,-1.048104e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-9.57225e-05,-2.644938e-05,-1.30715e-05,-1.30715e-05,-2.960902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
