MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 185.813]",0.003480465,0.003501969,0.002210305,0.001325781,0.001798821,0.0004020546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002033727,0.0002826472,0.0004125398,0.0002996057,0.0003179517,0.0001048609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00363191,0.003476479,0.002590053,0.001975137,0.002757929,0.000783628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(185.813, 504.442]",0.003501969,0.003608935,0.002347637,0.001412512,0.001908809,0.000423558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001473172,0.000226046,0.0003479708,0.0002265826,0.000263761,0.000101091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003576588,0.003469173,0.002647253,0.001974463,0.002817372,0.0008021414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(504.442, 823.498]",0.002210305,0.002347637,0.001768116,0.001158887,0.001469295,0.0003176588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001888668,0.0002595069,0.000339452,0.0002828835,0.0002895922,9.331641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001939748,0.001915447,0.001667232,0.001216479,0.001771212,0.0005069975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(823.498, 1356.84]",0.001325781,0.001412512,0.001158887,0.001015896,0.001032665,0.0002151505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000106629,0.0001362793,0.000169973,0.000153402,0.0001442229,3.937382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007760708,0.0007438617,0.0005892034,0.0004747629,0.0006510156,0.0001889326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(1356.84, 2235.62]",0.001798821,0.001908809,0.001469295,0.001032665,0.001349692,0.0003180014,3.296162e-05,3.248833e-05,3.248833e-05,3.249332e-05,3.255787e-05,3.255787e-05,3.277578e-05,3.288053e-05,3.288053e-05,3.307639e-05,3.37126e-05,3.37126e-05,3.462226e-05,3.548677e-05,3.511186e-05,3.364308e-05,2.962956e-05,2.545227e-05,2.712637e-05,2.998627e-05,4.348463e-05,4.348463e-05,3.963956e-05,3.197232e-05,2.667428e-05,2.793752e-05,2.702056e-05,0.0001241764,0.0001759905,0.0002491411,0.0001921592,0.0002196664,6.820141e-05,-1.509062e-05,-8.241065e-06,-8.241065e-06,-7.478103e-06,2.738916e-06,2.738916e-06,7.083413e-06,9.177874e-06,9.177874e-06,9.542605e-06,1.072564e-05,1.072564e-05,6.530337e-06,-5.037034e-06,-1.126489e-05,-1.310221e-05,-1.577336e-05,-9.605217e-06,-5.359245e-06,1.316461e-06,-3.286089e-06,-3.286089e-06,-5.822194e-06,-8.313538e-06,-9.722992e-06,-8.857365e-06,-7.921469e-06,0.001495451,0.001488958,0.001313513,0.001004045,0.00158064,0.0004926646,4.286222e-05,4.757223e-05,4.757223e-05,4.834445e-05,5.951079e-05,5.951079e-05,6.758272e-05,7.182507e-05,7.182507e-05,7.359053e-05,7.930911e-05,7.930911e-05,8.131584e-05,7.309883e-05,6.795265e-05,6.49155e-05,7.116306e-05,8.975063e-05,0.0001020084,0.0001290879,0.0001706455,0.0001706455,0.0002012805,0.0001978206,0.0001790494,8.139282e-05,3.99238e-05
9437,2,"(2235.62, 4556.53]",0.0004020546,0.000423558,0.0003176588,0.0002151505,0.0003180014,0.0002189467,0.0001849926,0.0001823459,0.0001823459,0.0001823768,0.0001827774,0.0001827774,0.0001840151,0.00018461,0.00018461,0.0001857042,0.0001892582,0.0001892582,0.0001943571,0.0001991951,0.0001970824,0.0001888226,0.0001663017,0.0001428872,0.0001523232,0.0001684412,0.0002442947,0.0002442947,0.0002227465,0.000179705,0.0001499557,0.0001570445,0.0001517776,3.235819e-05,4.476788e-05,6.026377e-05,4.907601e-05,4.399938e-05,-5.483029e-05,-8.343159e-05,-4.508202e-05,-4.508202e-05,-4.081262e-05,1.636005e-05,1.636005e-05,4.066968e-05,5.238924e-05,5.238924e-05,5.442976e-05,6.104835e-05,6.104835e-05,3.748523e-05,-2.750301e-05,-6.260142e-05,-7.307131e-05,-8.833498e-05,-5.382784e-05,-3.001034e-05,7.436969e-06,-1.833512e-05,-1.833512e-05,-3.248548e-05,-4.66457e-05,-5.472256e-05,-4.964689e-05,-4.433477e-05,0.000356075,0.0003521745,0.0003076996,0.0002388935,0.0004059586,0.0002999085,0.0002388453,0.0002652559,0.0002652559,0.0002695868,0.0003322109,0.0003322109,0.0003774023,0.0004011534,0.0004011534,0.0004110046,0.0004429141,0.0004429141,0.0004541272,0.0004081979,0.0003802772,0.0003636838,0.0004002814,0.0005066994,0.0005760555,0.0007292737,0.0009642104,0.0009642104,0.001136676,0.001120308,0.001017595,0.0004617029,0.0002245117
