MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]","(1e-05, 185.813]","(185.813, 504.442]","(504.442, 823.498]","(823.498, 1356.84]","(1356.84, 2235.62]","(2235.62, 4556.53]","(4556.53, 5533.14]","(5533.14, 5636.43]","(5636.43, 6972.26]","(6972.26, 9286.92]","(9286.92, 13319.8]","(13319.8, 14342.6]","(14342.6, 16476.6]","(16476.6, 17741.7]","(17741.7, 23414.1]","(23414.1, 25211.9]","(25211.9, 27147.8]","(27147.8, 36160.4]","(36160.4, 63564.2]","(63564.2, 129554.0]","(129554.0, 139501.0]","(139501.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 1946060.0]","(1946060.0, 3206450.0]","(3206450.0, 4270930.0]","(4270930.0, 5283130.0]","(5283130.0, 8084080.0]","(8084080.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 185.813]",0.0009060032,3.133458e-05,7.412104e-06,2.591336e-06,2.591336e-06,9.376357e-07,-2.717211e-08,-2.717211e-08,-2.717211e-08,-2.717211e-08,-2.717211e-08,-2.717211e-08,-2.717211e-08,-1.028744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587585e-05,-2.089554e-07,-8.830358e-08,-8.780431e-08,-8.780431e-08,-1.632183e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001885142,-6.04417e-05,-1.686937e-05,-4.280378e-06,-4.280378e-06,-1.355524e-06,5.248187e-07,5.248187e-07,5.248187e-07,5.248187e-07,5.248187e-07,5.248187e-07,5.248187e-07,2.215984e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(185.813, 504.442]",3.133458e-05,5.90245e-05,1.264879e-05,3.30333e-06,3.30333e-06,1.179929e-06,-5.89129e-08,-5.89129e-08,-5.89129e-08,-5.89129e-08,-5.89129e-08,-5.89129e-08,-5.89129e-08,-2.23046e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.674398e-07,-4.80122e-07,-1.977346e-07,-1.96566e-07,-1.96566e-07,-3.653939e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.311411e-05,-0.000150819,-4.457849e-05,-1.38833e-05,-1.38833e-05,-5.004782e-06,7.03078e-07,7.03078e-07,7.03078e-07,7.03078e-07,7.03078e-07,7.03078e-07,7.03078e-07,2.968663e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(504.442, 823.498]",7.412104e-06,1.264879e-05,1.774538e-05,1.877243e-05,1.877243e-05,7.674326e-06,1.199433e-06,1.199433e-06,1.199433e-06,1.199433e-06,1.199433e-06,1.199433e-06,1.199433e-06,4.541089e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.660003e-08,4.87284e-07,8.621398e-07,8.63691e-07,8.63691e-07,1.605504e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.053819e-06,-3.139464e-05,-7.065376e-05,-8.199657e-05,-8.199657e-05,-3.863666e-05,-1.076125e-05,-1.076125e-05,-1.076125e-05,-1.076125e-05,-1.076125e-05,-1.076125e-05,-1.076125e-05,-4.543809e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(823.498, 1356.84]",2.591336e-06,3.30333e-06,1.877243e-05,2.18897e-05,2.18897e-05,8.983053e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,5.50114e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232466e-08,6.82232e-07,1.075722e-06,1.07735e-06,1.07735e-06,2.002672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802248e-06,-7.32869e-06,-7.590835e-05,-9.57225e-05,-9.57225e-05,-4.541403e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-5.519284e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(1356.84, 2235.62]",2.591336e-06,3.30333e-06,1.877243e-05,2.18897e-05,2.18897e-05,8.983053e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,1.45301e-06,5.50114e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232466e-08,6.82232e-07,1.075722e-06,1.07735e-06,1.07735e-06,2.002672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802248e-06,-7.32869e-06,-7.590835e-05,-9.57225e-05,-9.57225e-05,-4.541403e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-5.519284e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(2235.62, 4556.53]",9.376357e-07,1.179929e-06,7.674326e-06,8.983053e-06,8.983053e-06,0.0005899683,0.0009289287,0.0009289287,0.0009289287,0.0009289287,0.0009289287,0.0009289287,0.0009289287,0.0009092685,0.0008972899,0.0008690823,0.0006573541,0.0006573541,0.0006573541,0.000524433,0.0003495685,0.0003495685,0.0002742979,0.0001969081,0.0001969081,-0.0003507042,-0.0003907391,-0.000340879,9.66762e-05,0.0001563208,-1.446367e-05,-0.0003742939,0.0003603931,3.03331e-08,2.513732e-07,3.963573e-07,3.969572e-07,3.969572e-07,0.0008967706,0.001101442,0.001101442,0.001101442,0.001101442,0.001101442,0.001101442,0.001101442,0.001175667,0.00129741,0.001286183,0.001184882,0.001184882,0.001184882,-0.0002722307,-0.0009238905,-0.0009238905,-0.0004705833,-0.0002699991,-0.0002699991,7.466743e-05,0.0002811902,0.0004205849,0.0005368274,0.0004361208,0.0008793484,0.001277395,0.0005792746,-6.812346e-07,-2.700308e-06,-3.132477e-05,-3.959501e-05,-3.959501e-05,0.0001331952,0.0002442794,0.0002442794,0.0002442794,0.0002442794,0.0002442794,0.0002442794,0.0002442794,0.0003035574,0.0003468787,0.0003222821,0.0001351211,0.0001351211,0.0001351211,-0.0001485785,-0.0005942756,-0.0005942756,-0.0006062145,-0.0006174008,-0.0006174008,-0.0001074389,0.0001763155,0.0004396707,0.000973155,0.001397421,0.00149872,0.002154724,0.002084172
