MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 8.31529]",0.001822137,0.0005990463,-9.3657e-05,0.0001857609,0.000661608,0.0008852242,0.0007163463,0.0001937984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.386062e-05,-0.0002291806,-0.0002435777,-0.0002693115,-0.000287821,-0.0002781916,-0.0002811428,-0.0001069499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003126371,-0.001089071,-0.001052567,-0.0009807292,-0.0007502195,-0.0007307538,-0.001009513,-0.0004729876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(8.31529, 55.3314]",0.0005990463,0.001899835,0.002582545,0.002556093,0.001542568,0.00132198,0.001643386,0.0005416219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.095241e-06,8.540248e-05,4.221491e-05,6.638344e-05,0.0001568909,0.0001118267,0.0001322466,6.659647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006576055,0.002426642,0.002360358,0.002152751,0.001439047,0.001343789,0.001860313,0.0008629702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(55.3314, 172.563]",-9.3657e-05,0.002582545,0.004094472,0.00393128,0.002072233,0.001576595,0.002197196,0.0007475513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755379e-05,0.0003347731,0.0002661924,0.0003404505,0.0004681761,0.000380179,0.0004161046,0.0001894721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001183966,0.004315513,0.004224846,0.003892339,0.002702425,0.002538013,0.003528094,0.001640897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(172.563, 468.471]",0.0001857609,0.002556093,0.00393128,0.003885054,0.002139892,0.001660722,0.002267284,0.0007637688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024746e-05,0.0002152533,0.0001353017,0.0002103548,0.000323885,0.0002349636,0.0002773072,0.0001491058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001104914,0.004024704,0.00394606,0.003671848,0.002568919,0.002385095,0.003359282,0.001563955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(468.471, 954.816]",0.000661608,0.001542568,0.002072233,0.002139892,0.001462422,0.001234265,0.00155937,0.000510805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.735358e-05,0.0001907806,0.0001842816,0.0002214941,0.0002850713,0.0002550579,0.0002718064,0.0001204636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005093505,0.001746308,0.001694864,0.001601217,0.001275158,0.001172865,0.001660063,0.0007764765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(954.816, 1461.03]",0.0008852242,0.00132198,0.001576595,0.001660722,0.001234265,0.001148879,0.001371995,0.0004433298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.665637e-05,0.0001301439,0.0001272698,0.0001490328,0.0001946931,0.0001751679,0.0001885252,8.346137e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003200676,0.001107112,0.001077912,0.001010915,0.0007848879,0.0007694102,0.001101404,0.0005202781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
