MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 8.31529]",0.0001637167,-2.007469e-05,-4.989807e-05,-3.149291e-06,-2.088781e-06,-1.891922e-06,-1.891922e-06,-1.125888e-06,-8.798064e-08,-8.798064e-08,-8.798064e-08,-1.839553e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79023e-06,-1.308142e-06,-3.12282e-06,-9.245402e-08,-1.569706e-07,-1.572586e-07,-1.572586e-07,-5.802402e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875771,0.0001118693,2.362538e-05,7.392949e-06,8.037382e-06,8.183166e-06,8.183166e-06,5.181691e-06,9.738925e-07,9.738925e-07,9.738925e-07,2.166979e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(8.31529, 55.3314]",-2.007469e-05,0.002511298,0.0008413545,9.890422e-06,3.201028e-06,1.959298e-06,1.959298e-06,1.126884e-06,-9.58778e-10,-9.58778e-10,-9.58778e-10,-2.00467e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.285294e-07,1.176376e-05,5.604207e-05,-1.157588e-09,-1.42061e-09,-1.421784e-09,-1.421784e-09,-5.24599e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001464968,-0.0003596307,-0.0003298056,7.759697e-06,3.799436e-06,2.903544e-06,2.903544e-06,1.853277e-06,3.808979e-07,3.808979e-07,3.808979e-07,8.475244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(55.3314, 172.563]",-4.989807e-05,0.0008413545,0.000325181,4.707815e-05,1.002948e-05,3.152256e-06,3.152256e-06,1.795144e-06,-4.361971e-08,-4.361971e-08,-4.361971e-08,-9.120275e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.912075e-08,3.946702e-06,1.955062e-05,-3.554872e-07,-1.464724e-07,-1.455394e-07,-1.455394e-07,-5.369998e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062028e-06,-0.000149677,-0.0001818101,-0.0001093271,-2.797752e-05,-9.574559e-06,-9.574559e-06,-5.333579e-06,6.118937e-07,6.118937e-07,6.118937e-07,1.361506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(172.563, 468.471]",-3.149291e-06,9.890422e-06,4.707815e-05,5.90245e-05,1.202728e-05,3.30333e-06,3.30333e-06,1.87557e-06,-5.89129e-08,-5.89129e-08,-5.89129e-08,-1.231787e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.508742e-08,3.398107e-07,-4.80122e-07,-1.97826e-07,-1.96566e-07,-1.96566e-07,-7.252735e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633879e-07,-1.95201e-06,-9.145409e-05,-0.000150819,-3.914603e-05,-1.38833e-05,-1.38833e-05,-7.810476e-06,7.03078e-07,7.03078e-07,7.03078e-07,1.564398e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(468.471, 954.816]",-2.088781e-06,3.201028e-06,1.002948e-05,1.202728e-05,1.789123e-05,1.897974e-05,1.897974e-05,1.143658e-05,1.216297e-06,1.216297e-06,1.216297e-06,2.543108e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072521e-09,2.792214e-08,2.251615e-07,5.002489e-07,8.762221e-07,8.779002e-07,8.779002e-07,3.239206e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.668486e-07,-6.002263e-07,-1.82751e-05,-2.979415e-05,-7.311038e-05,-8.29094e-05,-8.29094e-05,-5.293555e-05,-1.091489e-05,-1.091489e-05,-1.091489e-05,-2.42864e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(954.816, 1461.03]",-1.891922e-06,1.959298e-06,3.152256e-06,3.30333e-06,1.897974e-05,2.18897e-05,2.18897e-05,1.321136e-05,1.45301e-06,1.45301e-06,1.45301e-06,3.038042e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82849e-09,1.731074e-08,2.038795e-07,6.82232e-07,1.075594e-06,1.07735e-06,1.07735e-06,3.97512e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746776e-07,-3.492991e-07,-4.691111e-06,-7.32869e-06,-7.941507e-05,-9.57225e-05,-9.57225e-05,-6.131197e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-2.9085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
