MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 0.54]",0.001486841,0.001654193,0.001242239,0.000460377,-0.0001240978,0.0001252045,0.0003865461,0.0003865461,0.0008342627,0.0008221006,0.000628447,0.0002586367,0.0001739962,5.897155e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.841102e-05,-0.0001223413,-0.0002201702,-0.0002254435,-0.0002372469,-0.0002616086,-0.0002813748,-0.0002813748,-0.0002671142,-0.0002662802,-0.0002685768,-0.0001418739,-0.0001111425,-4.826646e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.622655e-05,-0.001030832,-0.0008273655,-0.001102463,-0.0009973294,-0.000907862,-0.0007724349,-0.0007724349,-0.0005375511,-0.0006190413,-0.00092921,-0.0005417021,-0.0004243957,-1.222097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(0.54, 8.31529]",0.001654193,0.001851729,0.00140049,0.0005423426,-9.740715e-05,0.0001794838,0.0004581771,0.0004581771,0.0009501219,0.000936626,0.0007235078,0.0002995709,0.0002025422,6.86465e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.406223e-07,-0.0001285793,-0.0002262888,-0.0002336489,-0.0002445793,-0.0002684823,-0.0002943517,-0.0002943517,-0.0002789415,-0.0002785338,-0.0002821666,-0.0001501008,-0.0001180686,-5.127432e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36619e-05,-0.001123437,-0.000897236,-0.001198825,-0.001085241,-0.000989485,-0.0008452435,-0.0008452435,-0.0005833092,-0.0006730357,-0.001016055,-0.0005929395,-0.0004648538,-1.338601e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(8.31529, 27.1478]",0.001242239,0.00140049,0.001164046,0.0007917594,0.0004913893,0.0006775893,0.0007351575,0.0007351575,0.0009308362,0.0009326262,0.000865935,0.0003888735,0.0002796859,9.479238e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.857785e-06,1.411363e-05,-1.988868e-06,-6.338085e-06,1.927937e-06,-5.685281e-07,-3.206524e-05,-3.206524e-05,-1.228549e-05,-1.355055e-05,-2.238567e-05,-1.908183e-05,-1.82805e-05,-7.938774e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609631e-05,-0.0002794995,-0.0002227619,-0.0003320461,-0.0003099817,-0.0002890959,-0.0002569368,-0.0002569368,-0.0001550113,-0.0001855863,-0.000308222,-0.0001810862,-0.0001425996,-4.106322e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(27.1478, 51.3858]",0.000460377,0.0005423426,0.0007917594,0.002210712,0.002857812,0.002819469,0.001952359,0.001952359,0.001216884,0.00129169,0.001748287,0.0008644769,0.0006621945,2.244339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.346817e-05,-6.789625e-05,7.21066e-05,7.708984e-05,2.298773e-05,3.955542e-05,0.0001895413,0.0001895413,9.626192e-05,9.721918e-05,0.0001271998,9.268153e-05,8.43092e-05,3.661343e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000164748,0.002757816,0.00220281,0.00303316,0.002743552,0.00245267,0.00184595,0.00184595,0.001214231,0.001387131,0.002105739,0.001217551,0.0009486791,2.731831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(51.3858, 172.563]",-0.0001240978,-9.740715e-05,0.0004913893,0.002857812,0.004149994,0.004004646,0.002655973,0.002655973,0.001309339,0.001424877,0.002206769,0.001118549,0.0008694825,2.946888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670996e-05,6.085951e-05,0.0003259082,0.0003157023,0.0002587544,0.000318784,0.0005150504,0.0005150504,0.0003658203,0.0003654981,0.0004091374,0.0002567471,0.0002197852,9.544733e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002456234,0.004407993,0.003522829,0.004796842,0.004366101,0.003942501,0.003081229,0.003081229,0.002036552,0.002334162,0.003551718,0.002058307,0.001606222,4.625302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(172.563, 455.653]",0.0001252045,0.0001794838,0.0006775893,0.002819469,0.004004646,0.003978327,0.002716958,0.002716958,0.001402724,0.001516629,0.002282606,0.00114706,0.0008871617,3.006808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48926e-05,-9.243687e-06,0.0002199252,0.0001899533,0.0001336855,0.0001978728,0.0003792857,0.0003792857,0.000221134,0.0002229324,0.0002741727,0.0002008235,0.0001830329,7.948671e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002414376,0.004157835,0.003325091,0.00448357,0.00409864,0.003740386,0.002960663,0.002960663,0.001905031,0.002194139,0.003395429,0.001969521,0.00153787,4.428474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
