MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 0.54]","(0.54, 8.31529]","(8.31529, 27.1478]","(27.1478, 51.3858]","(51.3858, 172.563]","(172.563, 455.653]","(455.653, 504.442]","(504.442, 716.839]","(716.839, 954.816]","(954.816, 1356.84]","(1356.84, 1807.29]","(1807.29, 2977.8]","(2977.8, 3266.3]","(3266.3, 6069.22]","(6069.22, 9286.92]","(9286.92, 15021.3]","(15021.3, 23414.1]","(23414.1, 29232.3]","(29232.3, 38578.5]","(38578.5, 51385.8]","(51385.8, 78628.9]","(78628.9, 121433.0]","(121433.0, 139501.0]","(139501.0, 172563.0]","(172563.0, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1096880.0]","(1096880.0, 1271800.0]","(1271800.0, 3683540.0]","(3683540.0, 6069220.0]","(6069220.0, 10000000.0]","(10000000.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 0.54]",2.464766e-05,-1.673346e-05,-8.097243e-05,-0.0002797606,-7.963111e-05,-6.283592e-06,-6.283592e-06,-4.091966e-06,-3.475644e-06,-3.475644e-06,-3.475644e-06,-3.475644e-06,-3.88814e-07,-2.093914e-07,-2.093914e-07,-2.093914e-07,-4.991862e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.266426e-07,-1.58059e-07,-1.83781e-10,-5.605069e-06,-4.682225e-06,-2.068455e-07,-2.068455e-07,-3.759011e-07,-3.810799e-07,-3.810799e-07,-3.810799e-07,-3.810799e-07,-2.705634e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.111514e-06,-3.424113e-05,-3.393697e-05,7.152397e-05,3.627143e-05,1.215838e-05,1.215838e-05,1.347717e-05,1.396812e-05,1.396812e-05,1.396812e-05,1.396812e-05,2.001126e-06,1.686054e-06,1.686054e-06,1.686054e-06,4.270134e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(0.54, 8.31529]",-1.673346e-05,0.0001782534,0.0005233166,-0.0001725595,-4.998819e-05,-3.024945e-06,-3.024945e-06,-2.091572e-06,-1.829092e-06,-1.829092e-06,-1.829092e-06,-1.829092e-06,-1.790717e-07,-8.316397e-08,-8.316397e-08,-8.316397e-08,-1.982617e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.94913e-07,3.996585e-06,-8.518573e-07,-3.676646e-06,-3.061467e-06,-8.791581e-08,-8.791581e-08,-1.465818e-07,-1.48379e-07,-1.48379e-07,-1.48379e-07,-1.48379e-07,-1.053478e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001337266,0.0001964226,0.0001904901,4.655695e-05,2.312824e-05,7.203892e-06,7.203892e-06,7.750262e-06,7.953662e-06,7.953662e-06,7.953662e-06,7.953662e-06,1.125416e-06,9.456392e-07,9.456392e-07,9.456392e-07,2.394944e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(8.31529, 27.1478]",-8.097243e-05,0.0005233166,0.001664288,-0.0001467649,-4.384547e-05,-5.086862e-08,-5.086862e-08,-3.814609e-07,-4.744289e-07,-4.744289e-07,-4.744289e-07,-4.744289e-07,-2.997661e-08,-4.142728e-09,-4.142728e-09,-4.142728e-09,-9.8762e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.09018e-07,-1.022765e-08,2.441147e-06,-2.844759e-06,-2.36364e-06,-5.001752e-09,-5.001752e-09,-6.109372e-09,-6.143303e-09,-6.143303e-09,-6.143303e-09,-6.143303e-09,-4.36169e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004025898,0.0006076115,0.0006083507,4.502933e-05,2.033973e-05,3.752785e-06,3.752785e-06,3.577281e-06,3.511946e-06,3.511946e-06,3.511946e-06,3.511946e-06,5.52389e-07,4.744685e-07,4.744685e-07,4.744685e-07,1.201648e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(27.1478, 51.3858]",-0.0002797606,-0.0001725595,-0.0001467649,0.004187717,0.001135984,1.288195e-05,1.288195e-05,4.928347e-06,2.691659e-06,2.691659e-06,2.691659e-06,2.691659e-06,1.478589e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.891588e-06,2.281799e-07,2.626791e-08,8.881961e-05,7.362925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002238217,7.957445e-06,6.518741e-06,-0.001085365,-0.0004352894,8.965415e-06,8.965415e-06,4.414587e-06,2.720429e-06,2.720429e-06,2.720429e-06,2.720429e-06,4.134752e-07,3.527367e-07,3.527367e-07,3.527367e-07,8.933478e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(51.3858, 172.563]",-7.963111e-05,-4.998819e-05,-4.384547e-05,0.001135984,0.0003399091,4.676606e-05,4.676606e-05,1.272206e-05,3.14831e-06,3.14831e-06,3.14831e-06,3.14831e-06,1.320977e-07,-4.322019e-08,-4.322019e-08,-4.322019e-08,-1.030363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854332e-06,6.140595e-08,6.89442e-10,2.426693e-05,2.00558e-05,-3.522313e-07,-3.522313e-07,-1.503897e-07,-1.442064e-07,-1.442064e-07,-1.442064e-07,-1.442064e-07,-1.023853e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.825433e-05,1.120895e-06,7.224403e-07,-0.0002952497,-0.0001841911,-0.0001082432,-0.0001082432,-3.625964e-05,-9.461999e-06,-9.461999e-06,-9.461999e-06,-9.461999e-06,3.511468e-07,6.095116e-07,6.095116e-07,6.095116e-07,1.543661e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(172.563, 455.653]",-6.283592e-06,-3.024945e-06,-5.086862e-08,1.288195e-05,4.676606e-05,5.90245e-05,5.90245e-05,1.553368e-05,3.30333e-06,3.30333e-06,3.30333e-06,3.30333e-06,1.257827e-07,-5.89129e-08,-5.89129e-08,-5.89129e-08,-1.404475e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.102067e-07,3.399442e-07,-4.80122e-07,-4.80122e-07,-2.049943e-07,-1.96566e-07,-1.96566e-07,-1.96566e-07,-1.96566e-07,-1.395601e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.561812e-06,7.709937e-07,7.579134e-07,-4.441551e-06,-9.143803e-05,-0.000150819,-0.000150819,-5.10316e-05,-1.38833e-05,-1.38833e-05,-1.38833e-05,-1.38833e-05,3.288932e-07,7.03078e-07,7.03078e-07,7.03078e-07,1.780629e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
