MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 78.6289]","(78.6289, 185.813]","(185.813, 504.442]","(504.442, 1096.88]","(1096.88, 2765.46]","(2765.46, 5636.43]","(5636.43, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 139501.0]","(139501.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 7507620.0]","(7507620.0, 20000000.0]","(1e-05, 78.6289]","(78.6289, 185.813]","(185.813, 504.442]","(504.442, 1096.88]","(1096.88, 2765.46]","(2765.46, 5636.43]","(5636.43, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 139501.0]","(139501.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 7507620.0]","(7507620.0, 20000000.0]","(1e-05, 78.6289]","(78.6289, 185.813]","(185.813, 504.442]","(504.442, 1096.88]","(1096.88, 2765.46]","(2765.46, 5636.43]","(5636.43, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 139501.0]","(139501.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 7507620.0]","(7507620.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 78.6289]",0.002698237,0.0001763352,1.023202e-05,2.659484e-06,2.023947e-06,1.742114e-07,-3.236185e-09,-2.37234e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.768813e-05,2.576581e-05,-3.511984e-09,-5.559661e-09,-5.567972e-09,-1.60156e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003723979,-5.657651e-05,8.03827e-06,3.68648e-06,3.011733e-06,6.215331e-07,3.912329e-07,3.372049e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(78.6289, 185.813]",0.0001763352,6.505031e-05,5.674164e-05,7.414337e-06,3.274461e-06,2.355376e-07,-5.599049e-08,-4.104471e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91776e-06,1.509637e-06,-4.563052e-07,-1.879047e-07,-1.868152e-07,-5.37352e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.882249e-05,-0.0001366343,-0.0001428902,-3.048795e-05,-1.305993e-05,-5.223646e-07,6.856534e-07,5.909669e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(185.813, 504.442]",1.023202e-05,5.674164e-05,5.90245e-05,7.617729e-06,3.30333e-06,2.35398e-07,-5.89129e-08,-4.318703e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981849e-07,-1.192792e-07,-4.80122e-07,-1.977123e-07,-1.96566e-07,-5.65399e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.833096e-06,-0.0001399502,-0.000150819,-3.226512e-05,-1.38833e-05,-5.788321e-07,7.03078e-07,6.059852e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(504.442, 1096.88]",2.659484e-06,7.414337e-06,7.617729e-06,1.945696e-05,2.045059e-05,3.009127e-06,1.335944e-06,9.793351e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.277399e-08,4.25955e-07,5.922328e-07,9.771504e-07,9.787128e-07,2.815152e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.422557e-07,-1.715185e-05,-1.843891e-05,-7.986213e-05,-8.938582e-05,-1.88055e-05,-1.200496e-05,-1.034711e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(1096.88, 2765.46]",2.023947e-06,3.274461e-06,3.30333e-06,2.045059e-05,2.18897e-05,3.241917e-06,1.45301e-06,1.065152e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.057014e-08,4.717147e-07,6.82232e-07,1.075753e-06,1.07735e-06,3.09887e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.255271e-07,-6.84579e-06,-7.32869e-06,-8.385679e-05,-9.57225e-05,-2.033521e-05,-1.30715e-05,-1.126637e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(2765.46, 5636.43]",1.742114e-07,2.355376e-07,2.35398e-07,3.009127e-06,3.241917e-06,0.001224346,0.001341489,0.001299726,0.001097511,0.0009497584,0.0007265999,0.0005050636,0.0003180998,0.0002844968,-0.0004927869,-0.0005341001,-0.0005645477,-0.0003494035,0.0002033299,0.0001980127,-0.0004643657,0.0004587371,3.551271e-09,4.129112e-08,5.971856e-08,9.416504e-08,9.430486e-08,0.001545615,0.001591386,0.0018745,0.001796795,0.001711941,-0.0006748631,-0.001334855,-0.0004330496,-0.0003901002,9.932198e-05,0.0001128164,0.0004062692,0.0006740416,0.000818006,0.0007075267,0.001879573,0.0008747719,-5.924952e-08,-6.038225e-07,-6.415103e-07,-1.275082e-05,-1.462837e-05,0.0003259399,0.0003587542,0.0004889019,0.0003277206,0.0001952257,-0.0002835443,-0.0008586213,-0.0008878321,-0.0008920331,-0.000166132,-0.0001314644,0.0002547441,0.0007756594,0.001487221,0.002013506,0.002803176,0.003033095
