MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 4.0]",0.001831987,0.001819945,0.0004582534,-0.0001900975,1.847287e-06,0.0006811596,0.0004451807,0.0009894003,0.0004999565,9.04303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286628e-06,-0.0001850358,-0.0002524234,-0.0002522838,-0.0002824282,-0.0002910732,-0.0003077526,-0.0002902524,-0.000236277,-7.053383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.429362e-05,-0.001351472,-0.001183498,-0.001125079,-0.001064897,-0.0009494292,-0.0008781827,-0.0005702063,-0.0007965784,-0.0002751326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(4.0, 8.31529]",0.001819945,0.00181607,0.0005689289,-2.253632e-05,0.0001719462,0.0007726074,0.0005478506,0.00103505,0.0005590314,0.0001074813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.415406e-06,-0.000166903,-0.0002259084,-0.0002269183,-0.000253083,-0.0002605911,-0.0002764812,-0.000261399,-0.0002128139,-6.333125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.779691e-05,-0.0011473,-0.001008542,-0.0009621583,-0.0009127695,-0.000813037,-0.0007610062,-0.000493667,-0.0006926944,-0.0002397208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(8.31529, 63.5642]",0.0004582534,0.0005689289,0.002131761,0.00283818,0.002932573,0.001761247,0.001863502,0.001090787,0.001182985,0.0003218029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64343e-05,-3.333016e-05,0.00010497,3.634832e-05,7.057963e-05,0.0001202855,0.0002057622,0.0001129913,0.0001251808,5.251472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001432445,0.00305897,0.002728609,0.002613649,0.00243343,0.002094598,0.001778421,0.001092448,0.001533626,0.0005243932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(63.5642, 185.813]",-0.0001900975,-2.253632e-05,0.00283818,0.004245164,0.004330327,0.002289717,0.002575582,0.001122324,0.001515101,0.0004342006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.937832e-05,0.0001336137,0.0003481915,0.000244168,0.0003347042,0.0003837659,0.0005179521,0.0003543105,0.0003421884,0.0001290073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002231537,0.005000327,0.004436155,0.004280082,0.004020542,0.003504948,0.003050522,0.001870879,0.002652652,0.0009107737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(185.813, 404.041]",1.847287e-06,0.0001719462,0.002932573,0.004330327,0.004502843,0.002453993,0.002739285,0.00123374,0.001619595,0.0004597332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.669107e-05,2.96122e-05,0.0002300275,0.0001176562,0.0002101491,0.0002629136,0.0003967992,0.0002125987,0.0002462563,0.0001121354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002363965,0.005046979,0.00445527,0.004307749,0.004076306,0.003586169,0.003116724,0.001852377,0.002692428,0.0009281967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(404.041, 468.471]",0.0006811596,0.0007726074,0.001761247,0.002289717,0.002453993,0.001631632,0.001743869,0.00106233,0.00111273,0.0002970534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.898026e-06,6.284234e-05,0.0001511809,0.0001159612,0.0001576571,0.0001808416,0.000224612,0.0001583434,0.0001582609,6.31403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.828378e-05,0.002217296,0.001938347,0.001856782,0.001768158,0.001595956,0.001436526,0.000838995,0.001234308,0.0004264027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
