MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]","(1e-05, 4.0]","(4.0, 8.31529]","(8.31529, 63.5642]","(63.5642, 185.813]","(185.813, 404.041]","(404.041, 468.471]","(468.471, 771.881]","(771.881, 1028.13]","(1028.13, 2765.46]","(2765.46, 3966.37]","(3966.37, 11487.9]","(11487.9, 16476.6]","(16476.6, 23414.1]","(23414.1, 27147.8]","(27147.8, 63564.2]","(63564.2, 73700.4]","(73700.4, 139501.0]","(139501.0, 172563.0]","(172563.0, 351710.0]","(351710.0, 716839.0]","(716839.0, 886730.0]","(886730.0, 954816.0]","(954816.0, 1096880.0]","(1096880.0, 1181110.0]","(1181110.0, 1356840.0]","(1356840.0, 1461030.0]","(1461030.0, 2235620.0]","(2235620.0, 2977800.0]","(2977800.0, 4906400.0]","(4906400.0, 6972260.0]","(6972260.0, 8084080.0]","(8084080.0, 10000000.0]","(10000000.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 4.0]",3.088262e-05,-4.180371e-05,-0.0002569567,-7.89533e-05,-6.595815e-06,-6.595815e-06,-4.331426e-06,-3.572553e-06,-3.572553e-06,-8.02801e-07,-2.125674e-07,-2.125674e-07,-1.558259e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.215511e-07,-2.129568e-07,-1.001779e-06,-4.932966e-06,-2.319642e-07,-2.319642e-07,-3.874368e-07,-3.881451e-07,-3.881451e-07,-5.567619e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.972479e-05,-4.380194e-05,1.943719e-05,3.866632e-05,1.263992e-05,1.263992e-05,1.381886e-05,1.428434e-05,1.428434e-05,3.912024e-06,1.726269e-06,1.726269e-06,1.487877e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(4.0, 8.31529]",-4.180371e-05,0.0003362468,6.382361e-05,-3.518016e-05,-1.858801e-06,-1.858801e-06,-1.412284e-06,-1.262641e-06,-1.262641e-06,-2.558733e-07,-4.133136e-08,-4.133136e-08,-3.02986e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.116783e-07,5.507302e-06,-1.430902e-06,-2.421853e-06,-4.021691e-08,-4.021691e-08,-7.066855e-08,-7.080729e-08,-7.080729e-08,-1.015672e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002034259,0.0002743858,0.0001463953,1.790624e-05,5.428315e-06,5.428315e-06,5.765543e-06,5.898691e-06,5.898691e-06,1.598382e-06,6.921785e-07,6.921785e-07,5.965909e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(8.31529, 63.5642]",-0.0002569567,6.382361e-05,0.002541483,0.0007972571,9.957046e-06,9.957046e-06,3.979036e-06,1.975602e-06,1.975602e-06,3.462717e-07,-9.38265e-10,-9.38265e-10,-6.8781e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034711e-06,5.879832e-08,1.196706e-05,5.611944e-05,-1.132821e-09,-1.132821e-09,-1.390193e-09,-1.391365e-09,-1.391365e-09,-1.9958e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.147428e-05,0.0001438649,-0.0003645933,-0.0003308225,7.786602e-06,7.786602e-06,4.282888e-06,2.899509e-06,2.899509e-06,8.187528e-07,3.802756e-07,3.802756e-07,3.277608e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(63.5642, 185.813]",-7.89533e-05,-3.518016e-05,0.0007972571,0.0002929866,4.779186e-05,4.779186e-05,1.436407e-05,3.161282e-06,3.161282e-06,5.186179e-07,-4.453337e-08,-4.453337e-08,-3.26459e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.640733e-06,1.852753e-08,3.760506e-06,1.829842e-05,-3.629333e-07,-3.629333e-07,-1.495601e-07,-1.48588e-07,-1.48588e-07,-2.131371e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.574875e-05,1.175168e-06,-0.0001409742,-0.0001761591,-0.000111806,-0.000111806,-3.869754e-05,-9.831978e-06,-9.831978e-06,-1.201382e-06,6.173413e-07,6.173413e-07,5.320885e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(185.813, 404.041]",-6.595815e-06,-1.858801e-06,9.957046e-06,4.779186e-05,5.90245e-05,5.90245e-05,1.728999e-05,3.30333e-06,3.30333e-06,5.317173e-07,-5.89129e-08,-5.89129e-08,-4.318703e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.610678e-08,3.352457e-07,-4.80122e-07,-4.80122e-07,-1.97852e-07,-1.96566e-07,-1.96566e-07,-2.819576e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.476328e-06,7.836533e-07,-1.954362e-06,-9.168645e-05,-0.000150819,-0.000150819,-5.264539e-05,-1.38833e-05,-1.38833e-05,-1.835708e-06,7.03078e-07,7.03078e-07,6.059852e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(404.041, 468.471]",-6.595815e-06,-1.858801e-06,9.957046e-06,4.779186e-05,5.90245e-05,5.90245e-05,1.728999e-05,3.30333e-06,3.30333e-06,5.317173e-07,-5.89129e-08,-5.89129e-08,-4.318703e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.610678e-08,3.352457e-07,-4.80122e-07,-4.80122e-07,-1.97852e-07,-1.96566e-07,-1.96566e-07,-2.819576e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.476328e-06,7.836533e-07,-1.954362e-06,-9.168645e-05,-0.000150819,-0.000150819,-5.264539e-05,-1.38833e-05,-1.38833e-05,-1.835708e-06,7.03078e-07,7.03078e-07,6.059852e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
